worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,year,title
1332.54,620.18,0.46,712.36,0.54,2017,Star Wars: Episode VIII - The Last Jedi
1263.52,504.01,0.4,759.51,0.6,2017,Beauty and the Beast
1236.01,226.01,0.18,1010.0,0.82,2017,The Fate of the Furious
1034.8,264.62,0.26,770.18,0.74,2017,Despicable Me 3
962.08,404.52,0.42,557.56,0.58,2017,Jumanji: Welcome to the Jungle
880.17,334.2,0.38,545.97,0.62,2017,Spider-Man: Homecoming
870.33,2.72,0.0,867.6,1.0,2017,Wolf Warrior 2
863.76,389.81,0.45,473.94,0.55,2017,Guardians of the Galaxy Vol. 2
853.98,315.06,0.37,538.92,0.63,2017,Thor: Ragnarok
822.96,412.56,0.5,410.4,0.5,2017,Wonder Woman
814.64,210.46,0.26,604.18,0.74,2017,Coco
794.86,172.56,0.22,622.3,0.78,2017,Pirates of the Caribbean: Dead Men Tell No Tales
702.78,327.48,0.47,375.3,0.53,2017,It
661.32,229.02,0.35,432.3,0.65,2017,Justice League
619.02,226.28,0.37,392.74,0.63,2017,Logan
605.43,130.17,0.22,475.26,0.78,2017,Transformers: The Last Knight
568.65,168.05,0.3,400.6,0.7,2017,Kong: Skull Island
527.97,175.0,0.33,352.96,0.67,2017,The Boss Baby
526.05,188.05,0.36,338.0,0.64,2017,Dunkirk
490.72,146.88,0.3,343.84,0.7,2017,War for the Planet of the Apes
434.99,174.34,0.4,260.65,0.6,2017,The Greatest Showman
410.9,100.23,0.24,310.67,0.76,2017,Kingsman: The Golden Circle
409.23,80.23,0.2,329.0,0.8,2017,The Mummy
383.93,152.9,0.4,231.03,0.6,2017,Cars 3
381.55,114.58,0.3,266.96,0.7,2017,Fifty Shades Darker
352.79,102.83,0.29,249.96,0.71,2017,Murder on the Orient Express
346.12,44.9,0.13,301.22,0.87,2017,xXx: Return of Xander Cage
334.53,0.0,0.0,334.53,1.0,2017,Never Say Die
312.15,175.75,0.56,136.4,0.44,2017,The Lego Batman Movie
307.59,0.84,0.0,306.75,1.0,2017,The Ex-File 3: Return of the Exes
306.59,102.09,0.33,204.5,0.67,2017,Annabelle: Creation
305.94,132.42,0.43,173.51,0.57,2017,Wonder
296.07,84.41,0.28,211.66,0.72,2017,Ferdinand
278.45,138.29,0.5,140.16,0.5,2017,Split
259.15,92.05,0.36,167.1,0.64,2017,Blade Runner 2049
257.74,0.36,0.0,257.38,1.0,2017,Kung Fu Yoga
255.41,176.04,0.69,79.37,0.31,2017,Get Out
254.16,20.19,0.08,233.97,0.92,2017,Baahubali 2: The Conclusion
247.59,0.88,0.0,246.7,1.0,2017,Journey to the West: The Demons Strike Back
240.89,74.26,0.31,166.63,0.69,2017,Alien: Covenant
227.29,40.89,0.18,186.4,0.82,2017,Paddington 2
227.09,1.89,0.01,225.2,0.99,2017,Youth
226.95,107.83,0.48,119.12,0.52,2017,Baby Driver
225.87,41.19,0.18,184.68,0.82,2017,Valerian and the City of a Thousand Planets
221.9,33.7,0.15,188.2,0.85,2017,Geostorm
217.78,86.09,0.4,131.69,0.6,2017,The Emoji Movie
205.04,64.51,0.32,140.53,0.68,2017,A Dog's Purpose
197.18,45.02,0.23,152.16,0.77,2017,Smurfs: The Lost Village
195.24,63.86,0.33,131.38,0.67,2017,The Shape of Water
185.4,104.9,0.57,80.5,0.43,2017,Pitch Perfect 3
183.42,75.47,0.41,107.95,0.59,2017,The Hitman's Bodyguard
180.61,104.03,0.58,76.58,0.42,2017,Daddy's Home 2
179.77,81.9,0.46,97.87,0.54,2017,The Post
177.86,58.06,0.33,119.8,0.67,2017,Baywatch
171.54,92.03,0.54,79.51,0.46,2017,John Wick: Chapter 2
169.8,40.56,0.24,129.24,0.76,2017,Ghost in the Shell
160.06,54.51,0.34,105.55,0.66,2017,"Three Billboards Outside Ebbing, Missouri"
152.89,0.47,0.0,152.42,1.0,2017,Duckweed
150.85,56.47,0.37,94.38,0.63,2017,Darkest Hour
149.18,39.18,0.26,110.0,0.74,2017,King Arthur: Legend of the Sword
145.37,34.39,0.24,110.98,0.76,2017,The Foreigner
142.34,85.36,0.6,56.97,0.4,2017,Power Rangers
140.55,115.17,0.82,25.38,0.18,2017,Girls Trip
134.87,51.34,0.38,83.52,0.62,2017,American Made
130.56,72.11,0.55,58.45,0.45,2017,A Bad Moms Christmas
125.48,55.68,0.44,69.8,0.56,2017,Happy Death Day
125.43,73.92,0.59,51.51,0.41,2017,Captain Underpants: The First Epic Movie
123.68,59.28,0.48,64.4,0.52,2017,The Lego Ninjago Movie
122.03,0.0,0.0,122.03,1.0,2017,Secret Superstar
119.94,36.34,0.3,83.6,0.7,2017,The Commuter
119.06,0.0,0.0,119.06,1.0,2017,Forever Young
113.23,50.7,0.45,62.53,0.55,2017,The Dark Tower
110.16,0.29,0.0,109.86,1.0,2017,Buddies in India
109.38,1.91,0.02,107.48,0.98,2017,Along With the Gods: The Two Worlds
103.82,0.0,0.0,103.82,1.0,2017,Immortal Demon Slayer
102.95,38.05,0.37,64.9,0.63,2017,Jigsaw
100.54,30.23,0.3,70.31,0.7,2017,Life
100.01,51.69,0.52,48.33,0.48,2017,Atomic Blonde
97.05,0.0,0.0,97.05,1.0,2017,Legend of the Demon Cat
96.94,57.39,0.59,39.56,0.41,2017,The Shack
87.97,0.46,0.0,87.51,1.0,2017,Chasing the Dragon
87.32,5.56,0.06,81.76,0.94,2017,Tiger Zinda Hai
86.25,1.53,0.02,84.73,0.98,2017,A Taxi Driver
85.22,45.02,0.53,40.2,0.47,2017,Going in Style
83.08,27.79,0.34,55.29,0.66,2017,Rings
82.89,0.49,0.01,82.4,0.99,2017,Once Upon A Time
79.23,0.0,0.0,79.23,1.0,2017,Paradox
78.97,48.96,0.62,30.01,0.38,2017,Lady Bird
77.15,0.0,0.0,77.15,1.0,2017,Fantastica: A Boonie Bears Adventure
68.74,28.37,0.41,40.37,0.59,2017,The Nut Job 2: Nutty by Nature
67.23,36.25,0.54,30.98,0.46,2017,American Assassin
66.56,22.25,0.33,44.31,0.67,2017,Victoria & Abdul
64.24,0.0,0.0,64.24,1.0,2017,Suck Me Shakespeer 3
63.14,0.0,0.0,63.14,1.0,2017,Detective Conan: Crimson Love Letter
62.83,30.35,0.48,32.48,0.52,2017,The Mountain Between Us
62.81,40.85,0.65,21.96,0.35,2017,The Star
62.55,32.15,0.51,30.4,0.49,2017,How to Be a Latin Lover
62.19,44.31,0.71,17.88,0.29,2017,47 Meters Down
61.72,34.12,0.55,27.6,0.45,2017,"Everything, Everything"
61.15,0.0,0.0,61.15,1.0,2017,Doraemon: Great Adventure in the Antarctic Kachi Kochi
60.85,45.85,0.75,14.99,0.25,2017,Snatched
60.6,0.0,0.0,60.6,1.0,2017,The Founding of an Army
60.33,21.89,0.36,38.45,0.64,2017,My Little Pony: The Movie
59.28,28.78,0.48,30.5,0.52,2017,Molly's Game
59.04,0.69,0.01,58.35,0.99,2017,Xian yi ren X de xian shen
58.82,0.0,0.0,58.82,1.0,2017,Shock Wave
57.63,0.19,0.0,57.44,1.0,2017,Goldbuster
57.0,25.11,0.44,31.88,0.56,2017,All the Money in the World
56.41,42.87,0.76,13.54,0.24,2017,The Big Sick
55.97,0.48,0.01,55.5,0.99,2017,Confidential Assignment
55.67,44.92,0.81,10.75,0.19,2017,All Eyez on Me
55.0,24.45,0.44,30.55,0.56,2017,Downsizing
53.94,30.01,0.56,23.92,0.44,2017,"I, Tonya"
53.83,0.0,0.0,53.83,1.0,2017,1987: When the Day Comes
52.95,0.0,0.0,52.95,1.0,2017,The Outlaws
48.83,0.0,0.0,48.83,1.0,2017,Bleeding Steel
48.45,27.78,0.57,20.67,0.43,2017,Logan Lucky
48.33,47.32,0.98,1.01,0.02,2017,Boo 2! A Madea Halloween
48.07,0.0,0.0,48.07,1.0,2017,Sky Hunter
47.76,21.2,0.44,26.56,0.56,2017,Phantom Thread
47.35,22.11,0.47,25.24,0.53,2017,Rough Night
47.05,0.29,0.01,46.76,0.99,2017,Son of Bigfoot
46.6,0.0,0.0,46.6,1.0,2017,Three Seconds
46.26,0.12,0.0,46.14,1.0,2017,The Thousand Faces of Dunjia
46.18,1.1,0.02,45.08,0.98,2017,The Battleship Island
46.15,0.0,0.0,46.15,1.0,2017,Hanson and the Beast
45.75,0.0,0.0,45.75,1.0,2017,Gintama Live Action the Movie
45.7,0.0,0.0,45.7,1.0,2017,Guilty of Mind
45.16,16.88,0.37,28.28,0.63,2017,Flatliners
44.56,0.0,0.0,44.56,1.0,2017,Bad Genius
44.52,17.8,0.4,26.72,0.6,2017,Mother!
43.98,33.8,0.77,10.18,0.23,2017,Wind River
43.89,0.59,0.01,43.3,0.99,2017,Battle of Memories
43.16,6.7,0.16,36.46,0.84,2017,The Snowman
43.05,24.8,0.58,18.25,0.42,2017,Gifted
42.19,6.74,0.16,35.45,0.84,2017,Loving Vincent
42.11,18.1,0.43,24.02,0.57,2017,Call Me by Your Name
41.98,2.42,0.06,39.56,0.94,2017,Mary and the Witch's Flower
41.68,2.4,0.06,39.28,0.94,2017,T2 Trainspotting
41.19,32.19,0.78,9.0,0.22,2017,Fist Fight
40.66,20.5,0.5,20.16,0.5,2017,The Circle
40.14,20.74,0.52,19.4,0.48,2017,Diary of a Wimpy Kid: The Long Haul
39.97,0.01,0.0,39.95,1.0,2017,Brotherhood of Blades 2
39.73,0.0,0.0,39.73,1.0,2017,Midnight Runners
37.89,0.0,0.0,37.89,1.0,2017,The King
37.55,2.4,0.06,35.15,0.94,2017,Pokémon the Movie: I Choose You!
37.27,27.02,0.72,10.25,0.28,2017,Home Again
36.8,0.22,0.01,36.58,0.99,2017,The Adventurers
35.7,0.01,0.0,35.7,1.0,2017,"Tad, the Lost Explorer, and the Secret of King Midas"
35.67,29.82,0.84,5.85,0.16,2017,Hostiles
35.35,0.07,0.0,35.28,1.0,2017,Namiya
35.17,0.0,0.0,35.17,1.0,2017,Destiny: The Tale of Kamakura
35.05,0.0,0.0,35.05,1.0,2017,The Liquidator
34.81,30.97,0.89,3.84,0.11,2017,Kidnap
34.6,0.0,0.0,34.6,1.0,2017,R.A.I.D. Special Unit
34.28,25.58,0.75,8.7,0.25,2017,The House
33.75,0.28,0.01,33.47,0.99,2017,I Want to Eat Your Pancreas
33.26,1.01,0.03,32.25,0.97,2017,Perfect Strangers
32.92,20.78,0.63,12.13,0.37,2017,Sleepless
32.84,0.0,0.0,32.84,1.0,2017,Hindi Medium
32.78,0.0,0.0,32.78,1.0,2017,Steel Rain
32.43,0.0,0.0,32.43,1.0,2017,The House That Never Dies II
31.19,0.0,0.0,31.19,1.0,2017,The Invisible Guest
31.0,0.34,0.01,30.66,0.99,2017,This Is Not What I Expected
30.62,0.0,0.0,30.62,1.0,2017,The Last Warrior
29.95,0.11,0.0,29.84,1.0,2017,Reset 2017 Re-release
29.87,22.4,0.75,7.48,0.25,2017,The Bye Bye Man
29.82,21.12,0.71,8.7,0.29,2017,The Disaster Artist
29.72,0.24,0.01,29.48,0.99,2017,The Swindlers
29.37,0.0,0.0,29.37,1.0,2017,Alibi.com
29.32,1.52,0.05,27.8,0.95,2017,Sword Art Online the Movie: Ordinal Scale
28.95,0.0,0.0,28.95,1.0,2017,Recep Ivedik 5
28.73,1.43,0.05,27.3,0.95,2017,Judwaa 2
28.65,0.25,0.01,28.39,0.99,2017,The Fortress
27.98,0.0,0.0,27.98,1.0,2017,What Happened to Monday
27.89,0.13,0.0,27.76,1.0,2017,Monster Family
27.87,10.71,0.38,17.16,0.62,2017,The Beguiled
26.8,18.6,0.69,8.2,0.31,2017,CHIPS
26.62,8.11,0.3,18.51,0.7,2017,A Cure for Wellness
26.35,18.34,0.7,8.01,0.3,2017,Only the Brave
26.29,0.05,0.0,26.24,1.0,2017,Twenty Two
26.15,17.57,0.67,8.58,0.33,2017,The Zookeeper's Wife
26.13,1.99,0.08,24.14,0.92,2017,The Bride of Badrinath
25.96,0.0,0.0,25.96,1.0,2017,A Chinese Odyssey: Part 2 - Cinderella 2017 Re-release
25.96,0.0,0.0,25.96,1.0,2017,Love Off the Cuff
25.7,17.5,0.68,8.2,0.32,2017,Father Figures
25.67,0.53,0.02,25.15,0.98,2017,Fireworks
25.4,0.0,0.0,25.4,1.0,2017,Money
25.38,21.86,0.86,3.52,0.14,2017,Leap! 2017 Re-release
24.65,8.05,0.33,16.6,0.67,2017,The Death of Stalin
24.43,0.0,0.0,24.43,1.0,2017,The 8-Year Engagement
24.21,1.65,0.07,22.56,0.93,2017,Jolly LLB 2
24.02,0.06,0.0,23.96,1.0,2017,I Can Speak
23.47,14.3,0.61,9.17,0.39,2017,Wish Upon
23.36,16.79,0.72,6.56,0.28,2017,Detroit
22.76,0.05,0.0,22.7,1.0,2017,Extraordinary Mission
22.09,17.27,0.78,4.82,0.22,2017,The Glass Castle
21.57,0.0,0.0,21.57,1.0,2017,Épouse-moi mon pote
21.21,0.21,0.01,21.0,0.99,2017,The Prison
20.46,0.0,0.0,20.46,1.0,2017,One Hundred Thousand Bad Jokes 2
2048.36,678.82,0.33,1369.54,0.67,2018,Avengers: Infinity War
1346.91,700.06,0.52,646.85,0.48,2018,Black Panther
1308.47,417.72,0.32,890.75,0.68,2018,Jurassic World: Fallen Kingdom
1242.81,608.58,0.49,634.22,0.51,2018,Incredibles 2
1151.96,335.06,0.29,816.9,0.71,2018,Aquaman
903.66,216.43,0.24,687.23,0.76,2018,Bohemian Rhapsody
856.09,213.52,0.25,642.57,0.75,2018,Venom
791.12,220.16,0.28,570.96,0.72,2018,Mission: Impossible - Fallout
734.55,318.49,0.43,416.06,0.57,2018,Deadpool 2
655.76,159.56,0.24,496.2,0.76,2018,Fantastic Beasts: The Crimes of Grindelwald
622.67,216.65,0.35,406.03,0.65,2018,Ant-Man and the Wasp
583.49,137.69,0.24,445.8,0.76,2018,Ready Player One
579.33,1.54,0.0,577.79,1.0,2018,Operation Red Sea
544.19,1.98,0.0,542.2,1.0,2018,Detective Chinatown 2
529.32,201.09,0.38,328.23,0.62,2018,Ralph Breaks the Internet
529.24,145.44,0.28,383.8,0.72,2018,The Meg
528.58,167.51,0.32,361.07,0.68,2018,Hotel Transylvania 3: Summer Vacation
512.45,271.48,0.53,240.98,0.47,2018,The Grinch
467.99,127.2,0.27,340.79,0.73,2018,Bumblebee
451.18,0.0,0.0,451.18,1.0,2018,Dying to Survive
436.39,215.29,0.49,221.1,0.51,2018,A Star Is Born
428.13,101.03,0.24,327.1,0.76,2018,Rampage
395.04,120.63,0.3,274.41,0.7,2018,Mamma Mia! Here We Go Again
392.92,213.77,0.54,179.16,0.46,2018,Solo: A Star Wars Story
375.58,190.24,0.51,185.34,0.49,2018,Spider-Man: Into the Spider-Verse
371.99,100.41,0.27,271.58,0.73,2018,Fifty Shades Freed
366.96,0.0,0.0,366.96,1.0,2018,Hello Mr. Billionaire
366.05,117.45,0.32,248.6,0.68,2018,The Nun
361.68,0.71,0.0,360.98,1.0,2018,Monster Hunt 2
351.27,115.25,0.33,236.01,0.67,2018,Peter Rabbit
349.54,171.96,0.49,177.58,0.51,2018,Mary Poppins Returns
340.94,188.02,0.55,152.92,0.45,2018,A Quiet Place
321.75,85.08,0.26,236.67,0.74,2018,Green Book
304.87,68.42,0.22,236.45,0.78,2018,Skyscraper
297.72,140.22,0.47,157.5,0.53,2018,Ocean's Eight
290.93,59.87,0.21,231.06,0.79,2018,Pacific Rim: Uprising
288.18,58.03,0.2,230.14,0.8,2018,Maze Runner: The Death Cure
274.95,58.25,0.21,216.7,0.79,2018,Tomb Raider
255.49,159.34,0.62,96.14,0.38,2018,Halloween
239.03,174.53,0.73,64.5,0.27,2018,Crazy Rich Asians
217.94,83.24,0.38,134.7,0.62,2018,Smallfoot
214.22,115.72,0.54,98.5,0.46,2018,Creed II
209.22,0.0,0.0,209.22,1.0,2018,Us and Them
198.33,0.67,0.0,197.66,1.0,2018,The Island
197.74,99.22,0.5,98.53,0.5,2018,Christopher Robin
190.4,102.08,0.54,88.32,0.46,2018,The Equalizer 2
188.12,0.0,0.0,188.12,1.0,2018,Project Gutenberg
174.8,103.8,0.59,71.0,0.41,2018,The Mule
173.96,54.86,0.32,119.1,0.68,2018,The Nutcracker and the Four Realms
167.89,67.75,0.4,100.14,0.6,2018,Insidious: The Last Key
160.54,51.02,0.32,109.52,0.68,2018,The Predator
158.97,4.41,0.03,154.56,0.97,2018,Johnny English Strikes Again
151.57,46.87,0.31,104.7,0.69,2018,Red Sparrow
142.96,0.72,0.0,142.24,1.0,2018,More Than Blue
137.06,69.49,0.51,67.57,0.49,2018,The First Purge
136.8,0.75,0.0,136.05,1.0,2018,How Long Will I Love U
132.68,100.48,0.76,32.2,0.24,2018,A Wrinkle in Time
131.46,68.55,0.52,62.91,0.48,2018,The House with a Clock in Its Walls
120.56,67.36,0.56,53.19,0.44,2018,Instant Family
118.15,0.55,0.0,117.6,1.0,2018,A Cool Fish
117.68,69.18,0.59,48.5,0.41,2018,Game Night
115.75,30.71,0.26,85.04,0.74,2018,Dragon Ball Super: Broly
115.08,0.19,0.0,114.9,1.0,2018,The Monkey King 3
105.7,44.94,0.42,60.76,0.57,2018,First Man
104.44,68.57,0.66,35.87,0.34,2018,Book Club
103.11,77.34,0.75,25.77,0.25,2018,Night School
101.86,0.0,0.0,101.86,1.0,2018,Detective Conan: Zero the Enforcer
99.63,35.86,0.36,63.77,0.64,2018,Alpha
97.96,1.2,0.01,96.76,0.99,2018,Along With the Gods: The Last 49 Days
97.64,53.55,0.55,44.1,0.45,2018,A Simple Favor
96.85,0.0,0.0,96.85,1.0,2018,Boonie Bears: The Big Shrink
95.92,34.37,0.36,61.55,0.64,2018,The Favourite
95.33,41.41,0.43,53.92,0.57,2018,Truth or Dare
94.87,0.0,0.0,94.87,1.0,2018,Kill Mobile
94.54,48.8,0.52,45.74,0.48,2018,I Feel Pretty
94.02,60.31,0.64,33.71,0.36,2018,Blockers
93.4,49.28,0.53,44.13,0.47,2018,BlacKkKlansman
93.32,46.7,0.5,46.62,0.5,2018,Goosebumps 2: Haunted Halloween
91.71,0.52,0.01,91.19,0.99,2018,Shadow
91.24,50.32,0.55,40.93,0.45,2018,Overboard
90.5,43.24,0.48,47.25,0.52,2018,Sherlock Gnomes
90.04,0.26,0.0,89.78,1.0,2018,Detective Dee: The Four Heavenly Kings
86.87,0.0,0.0,86.87,1.0,2018,"Hello, Mrs. Money"
86.49,30.82,0.36,55.66,0.64,2018,Robin Hood
86.09,83.48,0.97,2.6,0.03,2018,I Can Only Imagine
85.17,0.0,0.0,85.17,1.0,2018,Hidden Man
83.67,15.95,0.19,67.72,0.81,2018,Mortal Engines
81.1,0.0,0.0,81.1,1.0,2018,iPartment the Movie
80.92,0.0,0.0,80.92,1.0,2018,Doraemon the Movie: Nobita's Treasure Island
80.51,44.95,0.56,35.56,0.44,2018,Den of Thieves
80.0,44.07,0.55,35.93,0.45,2018,Hereditary
78.78,0.0,0.0,78.78,1.0,2018,Code Blue: The Movie
